2025-10-18 23:26:34,419 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:34,520 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:34,621 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:34,722 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:34,824 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:34,924 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:35,025 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:35,127 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:35,228 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:35,329 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:35,430 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:35,531 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:35,633 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:35,734 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:35,835 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:35,935 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:36,037 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:36,138 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:36,239 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:36,340 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:36,441 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:36,542 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:36,643 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:36,744 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:36,846 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:36,947 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:37,047 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:37,148 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:37,249 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:37,350 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:37,451 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:37,552 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:37,653 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:37,754 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:37,856 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:37,957 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:38,058 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:38,159 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:38,260 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:38,361 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:38,462 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:38,563 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:38,664 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:38,765 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:38,866 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:38,967 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:39,068 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:39,169 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:39,270 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:39,371 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:39,473 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:39,574 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:39,675 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:39,776 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:39,877 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:39,979 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:40,083 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:40,184 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:40,285 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:40,387 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:40,488 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:40,589 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:40,690 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:40,792 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:40,893 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:40,994 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:41,095 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:41,197 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:41,298 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:41,399 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:41,501 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:41,602 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:41,703 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:41,804 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:41,905 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:42,006 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:42,107 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:42,209 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:42,310 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:42,412 | WARNING | collector | Kare alınamadı. 100ms bekle.
